% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
56.25%,0.900133156,43.76%,0.015978695,0.083888149,96.61%,0.00%,3.39%,0.00%,676,Pakistan,Chakwal,99.40191388,85.035,2.62%,89.16985646,78.115,84.94,0.00%,0.621688742,751,0.378311258,457,4.10%,1083725,12,63,Punjab,83.335,92.925,90.80143541,1208
74.30%,0.822097378,25.70%,0.052434457,0.125468165,96.10%,0.00%,3.90%,0.00%,439,Pakistan,Chiniot,99.45504087,67.785,2.62%,88.14441417,54.49,73.075,0.00%,0.770562771,534,0.229437229,159,4.10%,965124,28,67,Punjab,67.86,87.69,74.51907357,693
58.22%,0.592567103,41.79%,0.206469374,0.200963524,76.37%,0.00%,23.63%,0.00%,861,Pakistan,Dera Ghazi Khan,93.65079834,66.39,2.62%,57.50975754,53.845,61.955,0.00%,0.815375982,1453,0.184624018,329,4.10%,2643118,300,292,Punjab,57.985,70.34,59.72738025,1782
54.80%,0.868008949,45.21%,0.041759881,0.090231171,96.09%,0.00%,3.91%,0.00%,1164,Pakistan,Faisalabad,99.13223141,77.995,2.62%,91.9338843,65.055,73.335,0.00%,0.576526225,1341,0.423473775,985,4.10%,5429547,56,121,Punjab,78.38,91.175,83.7231405,2326
58.99%,0.838209983,41.01%,0.048192771,0.113597246,95.90%,0.00%,4.10%,0.00%,974,Pakistan,Gujranwala,97.56618275,76.52,2.62%,84.45217763,70.935,62.045,0.00%,0.679929783,1162,0.320070217,547,4.10%,3400940,56,132,Punjab,82.09,86.665,76.0059778,1709
67.79%,0.878172589,32.21%,0.023350254,0.098477157,97.65%,0.00%,2.35%,0.00%,865,Pakistan,Gujrat,98.36363636,75.735,2.62%,94.90513834,67.455,76.345,0.00%,0.662407532,985,0.337592468,502,4.10%,2048008,23,97,Punjab,76.935,94.085,89.84782609,1487
67.59%,0.693014706,32.42%,0.018382353,0.288602941,97.40%,0.00%,2.60%,0.00%,377,Pakistan,Hafizabad,97.13876967,67.815,2.62%,80.97639485,57.465,74.555,0.00%,0.744186047,544,0.255813953,187,4.10%,832980,10,157,Punjab,56.815,88.165,84.19670959,731
62.83%,0.846805235,37.18%,0.077752117,0.075442648,85.26%,0.00%,14.74%,0.00%,1100,Pakistan,Jhang,99.6948894,74.405,2.62%,83.43096873,63.46,73.93,0.00%,0.78489426,1299,0.21510574,356,4.10%,2834546,101,98,Punjab,73.06,86.935,80.09610984,1655
76.80%,0.853747715,23.21%,0.02559415,0.120658135,97.61%,0.00%,2.39%,0.00%,467,Pakistan,Jhelum,98.21134021,67.68,2.62%,89.99484536,55.715,76.765,0.00%,0.653524492,547,0.346475508,290,4.10%,936957,14,66,Punjab,65.035,89.91,80.32474227,837
60.13%,0.850183824,39.88%,0.033088235,0.116727941,95.61%,0.00%,4.39%,0.00%,925,Pakistan,Kasur,97.16775777,73.59,2.62%,84.50654665,62.09,73.83,0.00%,0.723885562,1088,0.276114438,415,4.10%,1466000,36,127,Punjab,68.58,89.065,83.49754501,1503
60.27%,0.882113821,39.73%,0.029810298,0.088075881,98.62%,0.00%,1.38%,0.00%,651,Pakistan,Khanewal,98.58490566,65.75,2.62%,88.99865229,50.72,72.58,0.00%,0.566820276,738,0.433179724,564,4.10%,2068490,22,65,Punjab,49.975,90.85,87.4703504,1302
